date,BTC,ETH,USDT,USDC,usdt_b,usdc_b,usdt_ma_10d_b,usdt_delta_10d_b,usdt_delta_dev_10d_b,usdt_ma_30d_b,usdt_delta_30d_b,usdt_delta_dev_30d_b,usdt_ma_50d_b,usdt_delta_50d_b,usdt_delta_dev_50d_b,usdt_ma_120d_b,usdt_delta_120d_b,usdt_delta_dev_120d_b,usdt_ma_200d_b,usdt_delta_200d_b,usdt_delta_dev_200d_b
2015-08-07,277.89,2.773,,,,,,,,,,,,,,,,,,,
2015-08-08,258.6,0.8076,,,,,,,,,,,,,,,,,,,
2015-08-09,263.87,0.7428,,,,,,,,,,,,,,,,,,,
2015-08-10,263.3,0.6846,,,,,,,,,,,,,,,,,,,
2015-08-11,269.03,1.059,,,,,,,,,,,,,,,,,,,
2015-08-12,267.66,1.252,,,,,,,,,,,,,,,,,,,
2015-08-13,263.44,1.781,,,,,,,,,,,,,,,,,,,
2015-08-14,265.03,1.801,,,,,,,,,,,,,,,,,,,
2015-08-15,260.52,1.656,,,,,,,,,,,,,,,,,,,
2015-08-16,257.12,1.437,,,,,,,,,,,,,,,,,,,
2015-08-17,257.13,1.195,,,,,,,,,,,,,,,,,,,
2015-08-18,246.72,1.271,,,,,,,,,,,,,,,,,,,
2015-08-19,226.0,1.263,,,,,,,,,,,,,,,,,,,
2015-08-20,234.66,1.481,,,,,,,,,,,,,,,,,,,
2015-08-21,232.4,1.438,,,,,,,,,,,,,,,,,,,
2015-08-22,229.54,1.387,,,,,,,,,,,,,,,,,,,
2015-08-23,226.75,1.347,,,,,,,,,,,,,,,,,,,
2015-08-24,211.43,1.244,,,,,,,,,,,,,,,,,,,
2015-08-25,220.51,1.166,,,,,,,,,,,,,,,,,,,
2015-08-26,224.97,1.158,,,,,,,,,,,,,,,,,,,
2015-08-27,222.73,1.132,,,,,,,,,,,,,,,,,,,
2015-08-28,231.64,1.186,,,,,,,,,,,,,,,,,,,
2015-08-29,228.5,1.18,,,,,,,,,,,,,,,,,,,
2015-08-30,228.4,1.327,,,,,,,,,,,,,,,,,,,
2015-08-31,229.47,1.351,,,,,,,,,,,,,,,,,,,
2015-09-01,227.18,1.35,,,,,,,,,,,,,,,,,,,
2015-09-02,228.63,1.288,,,,,,,,,,,,,,,,,,,
2015-09-03,226.2,1.259,,,,,,,,,,,,,,,,,,,
2015-09-04,230.25,1.273,,,,,,,,,,,,,,,,,,,
2015-09-05,233.67,1.32,,,,,,,,,,,,,,,,,,,
2015-09-06,239.86,1.301,,,,,,,,,,,,,,,,,,,
2015-09-07,239.58,1.242,,,,,,,,,,,,,,,,,,,
2015-09-08,243.24,1.23,,,,,,,,,,,,,,,,,,,
2015-09-09,237.41,1.207,,,,,,,,,,,,,,,,,,,
2015-09-10,238.08,1.162,,,,,,,,,,,,,,,,,,,
2015-09-11,239.9,0.9754,,,,,,,,,,,,,,,,,,,
2015-09-12,235.6,1.041,,,,,,,,,,,,,,,,,,,
2015-09-13,230.19,0.9378,,,,,,,,,,,,,,,,,,,
2015-09-14,229.91,0.8743,,,,,,,,,,,,,,,,,,,
2015-09-15,229.53,0.9436,,,,,,,,,,,,,,,,,,,
2015-09-16,228.6,0.903,,,,,,,,,,,,,,,,,,,
2015-09-17,232.72,0.8853,,,,,,,,,,,,,,,,,,,
2015-09-18,232.21,0.8501,,,,,,,,,,,,,,,,,,,
2015-09-19,231.11,0.8882,,,,,,,,,,,,,,,,,,,
2015-09-20,231.09,0.9403,,,,,,,,,,,,,,,,,,,
2015-09-21,226.33,0.9019,,,,,,,,,,,,,,,,,,,
2015-09-22,230.01,0.8963,,,,,,,,,,,,,,,,,,,
2015-09-23,229.89,0.895,,,,,,,,,,,,,,,,,,,
2015-09-24,233.76,0.8142,,,,,,,,,,,,,,,,,,,
2015-09-25,235.03,0.7408,,,,,,,,,,,,,,,,,,,
2015-09-26,234.3,0.779,,,,,,,,,,,,,,,,,,,
2015-09-27,232.5,0.7219,,,,,,,,,,,,,,,,,,,
2015-09-28,238.87,0.5879,,,,,,,,,,,,,,,,,,,
2015-09-29,236.71,0.6816,,,,,,,,,,,,,,,,,,,
2015-09-30,235.93,0.7177,,,,,,,,,,,,,,,,,,,
2015-10-01,237.05,0.6818,,,,,,,,,,,,,,,,,,,
2015-10-02,236.71,0.6758,,,,,,,,,,,,,,,,,,,
2015-10-03,238.58,0.6866,,,,,,,,,,,,,,,,,,,
2015-10-04,238.33,0.6661,,,,,,,,,,,,,,,,,,,
2015-10-05,240.15,0.6287,,,,,,,,,,,,,,,,,,,
2015-10-06,246.14,0.6555,,,,,,,,,,,,,,,,,,,
2015-10-07,242.98,0.6116,,,,,,,,,,,,,,,,,,,
2015-10-08,242.58,0.6205,,,,,,,,,,,,,,,,,,,
2015-10-09,244.04,0.6489,,,,,,,,,,,,,,,,,,,
2015-10-10,245.35,0.6269,,,,,,,,,,,,,,,,,,,
2015-10-11,247.65,0.6342,,,,,,,,,,,,,,,,,,,
2015-10-12,245.35,0.6274,,,,,,,,,,,,,,,,,,,
2015-10-13,248.78,0.6033,,,,,,,,,,,,,,,,,,,
2015-10-14,252.33,0.5112,,,,,,,,,,,,,,,,,,,
2015-10-15,254.44,0.559,,,,,,,,,,,,,,,,,,,
2015-10-16,262.87,0.5318,,,,,,,,,,,,,,,,,,,
2015-10-17,269.58,0.5472,,,,,,,,,,,,,,,,,,,
2015-10-18,261.67,0.5173,,,,,,,,,,,,,,,,,,,
2015-10-19,263.82,0.4891,,,,,,,,,,,,,,,,,,,
2015-10-20,269.75,0.4356,,,,,,,,,,,,,,,,,,,
2015-10-21,267.11,0.4405,,,,,,,,,,,,,,,,,,,
2015-10-22,274.42,0.5875,,,,,,,,,,,,,,,,,,,
2015-10-23,276.92,0.5198,,,,,,,,,,,,,,,,,,,
2015-10-24,282.56,0.5739,,,,,,,,,,,,,,,,,,,
2015-10-25,287.86,0.6511,,,,,,,,,,,,,,,,,,,
2015-10-26,285.15,0.7417,,,,,,,,,,,,,,,,,,,
2015-10-27,294.66,0.8692,,,,,,,,,,,,,,,,,,,
2015-10-28,303.54,1.008,,,,,,,,,,,,,,,,,,,
2015-10-29,313.63,1.164,,,,,,,,,,,,,,,,,,,
2015-10-30,327.12,1.039,,,,,,,,,,,,,,,,,,,
2015-10-31,311.24,0.8929,,,,,,,,,,,,,,,,,,,
2015-11-01,322.95,1.05,,,,,,,,,,,,,,,,,,,
2015-11-02,359.28,0.9639,,,,,,,,,,,,,,,,,,,
2015-11-03,396.49,0.9956,,,,,,,,,,,,,,,,,,,
2015-11-04,400.89,0.8679,,,,,,,,,,,,,,,,,,,
2015-11-05,382.7,0.8898,,,,,,,,,,,,,,,,,,,
2015-11-06,369.81,0.9168,,,,,,,,,,,,,,,,,,,
2015-11-07,385.09,0.9165,,,,,,,,,,,,,,,,,,,
2015-11-08,371.56,1.019,,,,,,,,,,,,,,,,,,,
2015-11-09,380.22,1.001,,,,,,,,,,,,,,,,,,,
2015-11-10,336.69,0.9232,,,,,,,,,,,,,,,,,,,
2015-11-11,304.71,0.7798,,,,,,,,,,,,,,,,,,,
2015-11-12,333.85,0.8924,,,,,,,,,,,,,,,,,,,
2015-11-13,333.77,0.8922,,,,,,,,,,,,,,,,,,,
2015-11-14,331.77,0.8855,,,,,,,,,,,,,,,,,,,
2015-11-15,317.45,0.9006,,,,,,,,,,,,,,,,,,,
2015-11-16,330.21,0.9375,,,,,,,,,,,,,,,,,,,
2015-11-17,333.91,0.9951,,,,,,,,,,,,,,,,,,,
2015-11-18,335.92,0.9943,,,,,,,,,,,,,,,,,,,
2015-11-19,324.98,0.9502,,,,,,,,,,,,,,,,,,,
2015-11-20,321.12,0.93,,,,,,,,,,,,,,,,,,,
2015-11-21,324.7,0.9712,,,,,,,,,,,,,,,,,,,
2015-11-22,322.78,0.9616,,,,,,,,,,,,,,,,,,,
